sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;30;39;
137_UDP-;30;442;
138_UDP-;30;505;
139_TCP-;30;22;
139_TCP-system;30;168;
1900_UDP-;120;12045;
22_TCP_SSH-puttyexe;30;6;
22_TCP_SSH-winscpexe;30;32;
27017_UDP-;30;527;
27018_UDP-;30;541;
27019_UDP-;30;2996;
27020_UDP-;30;405;
27021_UDP-;30;174;
27036_UDP-;30;17;
2869_TCP-;30;1535;
2869_TCP-system;30;471;
3128_TCP-;30;901;
3128_TCP-chromeexe;30;914;
3128_TCP-spotifyexe;30;46;
3128_TCP-steamwebhelperexe;30;459;
3128_TCP-system;30;241;
3478_UDP-;30;250;
3702_UDP-;30;250;
3800_UDP-;30;36;
40003_UDP-;30;23;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;30;26;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;30;175;
43265_UDP-;30;120;
443_TCP_Https-;162;15435;
443_TCP_Https-firefoxexe;214;20619;
443_TCP_Https-googledrivesyncexe;30;21;
443_TCP_Https-chromeexe;131;12021;
443_TCP_Https-iexploreexe;125;10999;
443_TCP_Https-itunesexe;109;11068;
443_TCP_Https-mshtaexe;30;4;
443_TCP_Https-msmpengexe;30;38;
443_TCP_Https-onedriveexe;30;1674;
443_TCP_Https-skypebrowserhostexe;30;741;
443_TCP_Https-skypeexe;70;5665;
443_TCP_Https-spotifyexe;64;6365;
443_TCP_Https-steamexe;30;33;
443_TCP_Https-steamwebhelperexe;30;24;
443_TCP_Https-svchostexe;30;620;
443_TCP_Https-system;302;31647;
443_TCP_Https-thunderbirdexe;30;17;
443_TCP_Https-utorrentexe;30;334;
443_UDP_Https-;30;1888;
45776_TCP-utorrentexe;30;13;
465_TCP-thunderbirdexe;30;64;
47993_UDP-;30;68;
49001_UDP-;30;54;
5004_UDP-;30;41;
5005_UDP-;30;40;
50321_UDP-;30;114;
51413_UDP-;30;693;
51654_UDP-;30;1538;
5222_TCP_Jabber-pidginexe;30;31;
5223_TCP_JabberSsl-apsdaemonexe;30;157;
53_TCP_Dns-system;30;17;
53_UDP_Dns-;465;44007;
5351_UDP-;30;172;
5353_UDP-;30;232;
5355_UDP-;449;44121;
547_UDP_DhcPv6C-;30;17;
57621_UDP-;30;170;
5938_TCP-;30;95;
5938_TCP-system;30;48;
5938_TCP-teamviewer_serviceexe;30;90;
5938_UDP-;30;82;
67_UDP_DhcPc-;30;44;
67_UDP_DhcPs-;30;438;
6881_UDP-;30;1028;
6882_UDP-;30;14;
6889_UDP-;30;337;
6892_UDP-;30;4;
6969_TCP-utorrentexe;30;220;
6992_UDP-;30;2;
80_TCP_HTTP-;153;14341;
80_TCP_HTTP-avgmfapxexe;30;10;
80_TCP_HTTP-firefoxexe;30;1457;
80_TCP_HTTP-iexploreexe;30;2386;
80_TCP_HTTP-itunesexe;30;237;
80_TCP_HTTP-onedriveexe;30;61;
80_TCP_HTTP-spotifyexe;60;6104;
80_TCP_HTTP-steamexe;30;511;
80_TCP_HTTP-system;30;92;
80_TCP_HTTP-teamviewer_serviceexe;30;357;
80_TCP_HTTP-utorrentexe;30;1276;
80_TCP_HTTP-utorrentieexe;30;333;
8621_UDP-;30;42;
8999_UDP-;30;58;
9875_UDP-;30;5;
995_TCP-thunderbirdexe;30;193;
