sep=;
Label;Training;Verification
1024_UDP-;30;8;
11000_UDP-;30;28;
11888_UDP-;30;8;
12350_TCP-skypeexe;38;31;
139_TCP-;30;22;
139_TCP-system;94;104;
3702_UDP-;144;136;
3800_UDP-;34;32;
40003_UDP-;33;20;
40005_UDP-;30;1;
40018_UDP-;30;9;
40020_UDP-;30;32;
40023_UDP-;30;1;
40024_UDP-;30;10;
40025_UDP-;30;1;
40027_UDP-;30;13;
40028_UDP-;30;6;
40029_TCP-skypeexe;30;5;
40029_UDP-;32;24;
40030_UDP-;30;5;
40036_UDP-;30;5;
4070_TCP-spotifyexe;108;97;
43265_UDP-;78;72;
45776_TCP-utorrentexe;30;13;
47993_UDP-;39;59;
49001_UDP-;43;41;
50321_UDP-;76;68;
51654_UDP-;754;814;
5353_UDP-;140;122;
6992_UDP-;30;2;
8621_UDP-;30;42;
8999_UDP-;47;41;
9875_UDP-;30;5;
TCP_Dns-system;30;17;
TCP_HTTP-;7767;7658;
TCP_HTTP-avgmfapxexe;30;10;
TCP_HTTP-firefoxexe;714;773;
TCP_HTTP-chromeexe;458;486;
TCP_HTTP-iexploreexe;1238;1178;
TCP_HTTP-itunesexe;120;147;
TCP_HTTP-onedriveexe;47;44;
TCP_Https-;7734;7862;
TCP_Https-firefoxexe;10396;10434;
TCP_Https-googledrivesyncexe;30;21;
TCP_Https-chromeexe;6181;5971;
TCP_Https-iexploreexe;5549;5574;
TCP_Https-itunesexe;5656;5521;
TCP_Https-mshtaexe;30;4;
TCP_Https-msmpengexe;30;38;
TCP_Https-onedriveexe;838;866;
TCP_HTTP-spotifyexe;3201;3039;
TCP_Https-skypebrowserhostexe;384;387;
TCP_Https-skypeexe;2922;2812;
TCP_Https-spotifyexe;3168;3260;
TCP_Https-steamexe;30;33;
TCP_Https-steamwebhelperexe;30;24;
TCP_Https-svchostexe;315;335;
TCP_Https-system;15961;15980;
TCP_HTTP-steamexe;276;265;
TCP_HTTP-steamwebhelperexe;229;261;
TCP_Https-thunderbirdexe;30;17;
TCP_Https-utorrentexe;174;190;
TCP_HTTP-system;193;200;
TCP_HTTP-teamviewer_serviceexe;185;202;
TCP_HTTP-utorrentexe;795;761;
TCP_HTTP-utorrentieexe;185;178;
TCP_icslap-;786;781;
TCP_icslap-system;252;249;
TCP_Jabber-pidginexe;32;29;
TCP_JabberSsl-apsdaemonexe;94;93;
TCP_POP3tlsSSL-thunderbirdexe;111;112;
TCP_SMTPtlsSSL-thunderbirdexe;44;50;
TCP_SSH-puttyexe;30;6;
TCP_SSH-winscpexe;30;32;
TCP_TeamViewer-;58;67;
TCP_TeamViewer-system;39;39;
TCP_TeamViewer-teamviewer_serviceexe;60;60;
UDP_DhcPc-;31;43;
UDP_DhcPs-;243;225;
UDP_DhcPv6C-;30;17;
UDP_Dns-;22182;22282;
UDP_Https-;994;924;
UDP_LLMNR-;22201;22377;
UDP_NATpmp-;101;101;
UDP_netbios-;228;244;
UDP_netbiosdgm-;256;279;
UDP_OnlineGames-;2428;2425;
UDP_P2PBittorrent-;1124;1180;
UDP_RTP-;70;80;
UDP_spotify-;94;108;
UDP_SSDP-;6075;6090;
UDP_STUN-;139;141;
UDP_TeamViewer-;65;47;
