sep=;
Label;Training;Verification
1024_UDP;30;8;
11000_UDP;30;28;
11888_UDP;30;8;
12350_TCP;30;39;
137_UDP;30;442;
138_UDP;30;505;
139_TCP;30;220;
1900_UDP;120;12045;
22_TCP_SSH;30;68;
27017_UDP;30;527;
27018_UDP;30;541;
27019_UDP;30;2996;
27020_UDP;30;405;
27021_UDP;30;174;
27036_UDP;30;17;
2869_TCP;30;2036;
3128_TCP;30;2681;
3478_UDP;30;250;
3702_UDP;30;250;
3800_UDP;30;36;
40003_UDP;30;23;
40005_UDP;30;1;
40018_UDP;30;9;
40020_UDP;30;32;
40023_UDP;30;1;
40024_UDP;30;10;
40025_UDP;30;1;
40027_UDP;30;13;
40028_UDP;30;6;
40029_TCP;30;5;
40029_UDP;30;26;
40030_UDP;30;5;
40036_UDP;30;5;
4070_TCP;30;175;
43265_UDP;30;120;
443_TCP_Https;1204;117598;
443_UDP_Https;30;1888;
45776_TCP;30;13;
465_TCP;30;64;
47993_UDP;30;68;
49001_UDP;30;54;
5004_UDP;30;41;
5005_UDP;30;40;
50321_UDP;30;114;
51413_UDP;30;693;
51654_UDP;30;1538;
5222_TCP_Jabber;30;31;
5223_TCP_JabberSsl;30;157;
53_TCP_Dns;30;17;
53_UDP_Dns;468;44004;
5351_UDP;30;172;
5353_UDP;30;232;
5355_UDP;449;44121;
547_UDP_DhcPv6C;30;17;
57621_UDP;30;170;
5938_TCP;30;293;
5938_UDP;30;82;
67_UDP_DhcPc;30;44;
67_UDP_DhcPs;30;438;
6881_UDP;30;1028;
6882_UDP;30;14;
6889_UDP;30;337;
6892_UDP;30;4;
6969_TCP;30;220;
6992_UDP;30;2;
80_TCP_HTTP;278;27400;
8621_UDP;30;42;
8999_UDP;30;58;
9875_UDP;30;5;
995_TCP;30;193;
